Toxin_Cluster, Antitoxin1, Antitoxin2,Count, Category, on_contig, vir, amr, plasmid, avg_contig_length, sd_contig_length
11H,-,35P,258,ubiq,(-;mrkC_40;-:2) (-;kvgS_12;-:1) (OqxBgb_Flq;mrkC_53;-:1) (OqxBgb_Flq;mrkC_1;-:1) (-;mrkC_53;-:1) (OqxBgb_Flq;mrkC_75;-:2) (-;mrkC_49;-:4) (-;silS_4;-:1) (-;mrkC_36;-:1) (-;mrkC_60;-:1) (-;kvgS_2;-:1) (-;mrkC_8;-:3) (-;kvgS_9;-:1) (-;mrkC_58;-:2) (-;mrkC_68;-:2) (-;mrkC_10;-:2) (-;mrkC_75;-:4) (OqxBgb_Flq;mrkC_37;-:1) (-;mrkB_27;-:1) (OqxBgb_Flq;mrkC_38;-:1) (-;mrkC_46;-:4) (-;mrkC_20;-:1) (-;mrkC_1;-:8) (OqxBgb_Flq;mrkC_40;-:3) (-;mrkC_12;-:8) (-;kvgS_6;-:1) (-;mrkC_6;-:3) (-;mrkC_48;-:1) (-;mrkC_15;-:1) (-;mrkC_3;-:8) (-;mrkC_56;-:1) (-;mrkC_37;-:4) (-;mrkC_38;-:1) (-;mrkC_2;-:7) (-;mrkC_29;-:3) (-;mrkC_66;-:1) (-;mrkC_50;-:2) (-;mrkC_4;-:1) (-;mrkC_14;-:1) (-;mrkC_18;-:3) (-;-;-:158) (OqxBgb_Flq;mrkC_2;-:2) (-;kvgS_1;-:1) (CTX-M-9_Bla;mrkC_18;-:1) (-;mrkC_54;-:1),,,,127817.445736,143349.598544
23H,93P,76P,6,rare,(-;-;-:5) (Qnr-S_Flq;-;-:1),,,,74654.8333333,37874.0713304
28H,-,120P,2,rare,(-;-;-:2),,,,46550.0,13465.0
45H,-,157P,1,rare,(-;-;-:1),,,,4989.0,0.0
79H,-,200P,2,rare,(-;-;-:2),,,,6203.0,1623.0
30H,-,68P,6,rare,(-;-;-:6),,,,36179.6666667,30410.8524251
32H,-,102P,10,rare,(-;-;-:7) (OqxBgb_Flq;mrkC_2;-:1) (-;mrkC_2;-:2),,,,173679.1,180910.857626
42H,-,133P,3,rare,(-;-;-:3),,,,155154.333333,85387.4678718
70H,-,174P,1,rare,(-;-;-:1),,,,16964.0,0.0
61H,-,48P,57,spo_amr_vir_plasmid,(-;silS_4;-:1) (-;pcoA_6;-:1) (-;-;IncFIA(HI1):2) (Qnr-S_Flq;-;-:6) (AadA_AGly;silC_20;IncN:1) (-;-;-:40) (-;mrkH_16;-:1) (CatBx_Phe;-;-:2) (-;pcoA_6;IncR:1) (-;-;IncR:2),pcoA/pcoE/pcoC/pcoD/pcoB/pcoR/silE/silC/silS/silR,Aac3_IIa_AGly,,14604.4385965,13049.1929737
27H,24P,59P,1,rare,(-;-;-:1),,,,156826.0,0.0
23H,117P,232P,2,rare,(-;-;-:2),,,,17745.0,4385.0
78H,-,195P,2,rare,(-;-;-:2),,,,66244.5,25476.5
7H,-,3P,232,lin,(-;-;-:228) (OqxBgb_Flq;-;-:4),mrkJ/mrkI,OqxA_Flq,,79232.362069,91022.5541058
56H,-,99P,7,rare,(-;-;-:6) (-;kfuB_19;-:1),,,,68745.4285714,61564.7715844
4H,-,6P,123,spo_amr_vir_plasmid,(CmlA_Phe;-;IncR:1) (-;rmpA2_6;-:3) (-;iutA_1;IncHI1B:2) (-;silS_4;-:6) (-;silC_20;IncFIB(K):1) (-;rmpA2_8;-:1) (-;mrkH_16;IncR:9) (-;silC_20;-:1) (OqxBgb_Flq;-;-:2) (-;rmpA2_3;-:2) (-;-;IncFIB(pQil):1) (-;pcoA_6;IncFIB(K):1) (-;silS_2;-:1) (-;terA_2;IncHI1B:1) (-;pcoA_6;IncR:2) (-;silC_3;-:2) (-;pcoA_6;-:5) (-;silC_14;IncFIB(K):1) (-;iutA_1;-:3) (AadA_AGly;silC_20;IncN:1) (-;pcoA_2;IncFIA(HI1):1) (CatBx_Phe;-;-:1) (-;silE_10;IncR:1) (-;-;IncFIA(HI1):2) (-;rmpA2_4;-:1) (-;rmpA2_5;-:1) (-;-;-:73) (-;mrkH_16;-:2) (-;pcoA_2;-:1) (-;-;IncR:10),iutA/iucA/iucD/iucB/pcoA/pcoE/pcoS/pcoB/pbrA/pbrR/pbrBC/iroC/silS/terZ/terE/terW/terB/terA/terC/terX/terY,DfrA_Tmt_1,,23851.7266187,63827.3347189
98H,-,161P,1,rare,(-;-;-:1),,,,157035.0,0.0
127H,-,53P,1,rare,(-;-;-:1),,,,1269.0,0.0
10H,-,65P,18,lin,(-;-;-:18),mrkJ2/mrkI3/kfuB/kfuC/kfuA,,,144488.444444,171612.7819
16H,7P,4P,153,lin,(-;-;-:151) (-;-;IncFIB(K):1) (-;kfuC_9;-:1),mrkJ/mrkI,,,81616.4248366,69070.1098456
88H,-,188P,3,rare,(-;-;-:3),,,,24594.3333333,17362.4984633
23H,-,176P,1,rare,(-;-;-:1),,,,31278.0,0.0
113H,-,138P,2,rare,(-;-;-:1) (TetA_Tet;-;-:1),,,,8929.5,7411.5
119H,-,6P,1,rare,(-;-;IncFIA(HI1):1),,,,102845.0,0.0
123H,-,116P,2,rare,(-;-;-:2),,,,28715.5,8870.5
74H,-,199P,4,rare,(-;-;-:4),,,,46936.0,35367.7856743
6H,175P,17P,1,rare,(-;-;-:1),,,,25358.0,0.0
137H,-,89P,1,rare,(-;-;-:1),,,,91057.0,0.0
109H,-,64P,4,rare,(-;-;-:2) (-;silS_4;-:1) (SHV-OKP-LEN_Bla;-;-:1),,,,199737.25,112400.784128
75H,-,18P,4,rare,(-;-;-:3) (-;mrkC_68;-:1),,,,94091.25,84891.5235002
54H,-,52P,1,rare,(-;-;-:1),,,,5312.0,0.0
31H,-,52P,6,rare,(-;-;-:3) (OqxBgb_Flq;-;-:3),,,,168707.333333,129085.446473
23H,-,221P,1,rare,(SHV-OKP-LEN_Bla;-;-:1),,,,902369.0,0.0
17H,73P,36P,32,spo_no_assoc,(-;-;-:32),,,,64148.34375,57679.9989439
68H,-,139P,1,rare,(-;-;-:1),,,,2528.0,0.0
70H,-,185P,3,rare,(-;-;-:2) (OqxBgb_Flq;-;-:1),,,,46571.3333333,46442.412149
45H,-,74P,26,spo_no_assoc,(-;-;-:27),,,,53883.0,78210.2030078
94H,-,225P,1,rare,(-;-;-:1),,,,22803.0,0.0
71H,-,60P,8,spo_amr_vir_plasmid,(-;-;-:8),,AadB_AGly/RmtB_AGly/CmlA_Phe/TetG_Tet/TetRG_Tet/Arr_Rif/Dfr23_Tmt/OXA_7_Bla/VEB_1_Bla,,153835.0,137453.364801
23H,121P,76P,1,rare,(-;-;-:1),,,,88319.0,0.0
138H,-,165P,1,rare,(-;-;-:1),,,,10684.0,0.0
53H,-,144P,5,rare,(-;-;-:5),,,,29804.6,21130.890569
82H,96P,189P,1,rare,(-;-;-:1),,,,12215.0,0.0
81H,-,167P,1,rare,(OqxBgb_Flq;-;-:1),,,,23055.0,0.0
91H,-,25P,1,rare,(-;-;-:1),,,,4165.0,0.0
